Designator,Mid X,Mid Y,Rotation,Layer
C1,115.5,-65.5,0.0,top
C2,116.0,-133.0,0.0,top
C3,148.5,-100.0,270.0,top
C4,82.5,-99.5,90.0,top
D1,115.73,-73.0,0.0,top
D2,140.77,-99.5,0.0,top
D3,115.995,-125.0,0.0,top
D4,90.23,-99.5,0.0,top
J1,115.73,-103.5,90.0,top
Q1,115.96,-81.5,0.0,top
Q2,132.0,-99.54,270.0,top
Q3,116.04,-117.0,0.0,top
Q4,97.45,-99.54,270.0,top
R1,107.5,-72.81,90.0,top
R2,124.0,-72.81,90.0,top
R3,140.69,-92.0,0.0,top
R4,140.69,-107.0,0.0,top
R5,108.5,-125.31,90.0,top
R6,123.5,-125.31,90.0,top
R7,90.19,-107.0,0.0,top
R8,90.19,-92.5,0.0,top
SW1,109.75,-95.25,0.0,top
SW2,121.75,-95.25,0.0,top
